date,sector,fund_weight,benchmark_weight,active_weight,fund_return,benchmark_return,allocation_effect,selection_effect,interaction_effect,total_effect
2025-07-01,Communication Services,0.0826,0.076,0.0066,0.030409,0.027152,-2e-06,0.000248,2.1e-05,0.000267
2025-07-01,Consumer Discretionary,0.1206,0.1056,0.015,0.040925,0.040315,0.000193,6.4e-05,9e-06,0.000266
2025-07-01,Consumer Staples,0.0413,0.0739,-0.0326,0.003291,0.001945,0.000832,9.9e-05,-4.4e-05,0.000888
2025-07-01,Energy,0.0319,0.0388,-0.0069,0.033046,0.031004,-2.4e-05,7.9e-05,-1.4e-05,4.1e-05
2025-07-01,Financials,0.1304,0.1566,-0.0262,0.039079,0.034833,-0.000193,0.000665,-0.000111,0.000361
2025-07-01,Health Care,0.1406,0.1181,0.0225,0.012304,0.012801,-0.00033,-5.9e-05,-1.1e-05,-0.0004
2025-07-01,Industrials,0.1004,0.1059,-0.0056,0.015654,0.019679,4.4e-05,-0.000426,2.3e-05,-0.00036
2025-07-01,Information Technology,0.2814,0.2349,0.0465,0.04138,0.036888,0.000438,0.001055,0.000209,0.001702
2025-07-01,Materials,0.0372,0.0349,0.0023,0.036198,0.03302,1.3e-05,0.000111,7e-06,0.000131
2025-07-01,Real Estate,0.0162,0.0247,-0.0085,0.001127,-0.000345,0.000236,3.6e-05,-1.2e-05,0.00026
2025-07-01,Utilities,0.0175,0.0306,-0.0131,0.032013,0.031148,-4.8e-05,2.6e-05,-1.1e-05,-3.3e-05
2025-08-01,Communication Services,0.0878,0.0753,0.0125,0.033049,0.033762,0.000607,-5.4e-05,-9e-06,0.000545
2025-08-01,Consumer Discretionary,0.1189,0.1049,0.014,-0.030555,-0.032297,-0.000246,0.000183,2.4e-05,-3.9e-05
2025-08-01,Consumer Staples,0.0473,0.0639,-0.0165,-0.00684,-0.00843,-0.000104,0.000102,-2.6e-05,-2.9e-05
2025-08-01,Energy,0.0269,0.0483,-0.0213,0.010935,0.007444,-0.000473,0.000168,-7.4e-05,-0.000379
2025-08-01,Financials,0.1253,0.151,-0.0257,-0.032627,-0.036477,0.000558,0.000581,-9.9e-05,0.00104
2025-08-01,Health Care,0.1402,0.1241,0.0161,0.007116,0.004317,0.000307,0.000347,4.5e-05,0.0007
2025-08-01,Industrials,0.1007,0.1117,-0.011,0.002726,-0.00112,-0.00015,0.00043,-4.2e-05,0.000237
2025-08-01,Information Technology,0.2807,0.2398,0.0409,-0.036882,-0.035426,-0.000847,-0.000349,-6e-05,-0.001255
2025-08-01,Materials,0.0358,0.0347,0.0011,0.002779,0.000981,1.7e-05,6.3e-05,2e-06,8.1e-05
2025-08-01,Real Estate,0.0145,0.0224,-0.0079,0.009084,0.011324,-0.000206,-5e-05,1.8e-05,-0.000239
2025-08-01,Utilities,0.0218,0.0239,-0.0022,-0.019071,-0.01683,5e-06,-5.4e-05,5e-06,-4.4e-05
2025-09-01,Communication Services,0.081,0.0755,0.0054,-0.018335,-0.018487,-0.000176,1.1e-05,1e-06,-0.000164
2025-09-01,Consumer Discretionary,0.1202,0.1062,0.014,0.043522,0.047171,0.000465,-0.000387,-5.1e-05,2.6e-05
2025-09-01,Consumer Staples,0.0414,0.067,-0.0256,0.039908,0.040348,-0.000675,-3e-05,1.1e-05,-0.000693
2025-09-01,Energy,0.0329,0.0506,-0.0177,0.031235,0.030619,-0.000293,3.1e-05,-1.1e-05,-0.000273
2025-09-01,Financials,0.1253,0.1566,-0.0313,0.00749,0.010735,0.000103,-0.000508,0.000101,-0.000304
2025-09-01,Health Care,0.1465,0.1232,0.0233,0.006986,0.005802,-0.000192,0.000146,2.8e-05,-1.8e-05
2025-09-01,Industrials,0.0997,0.1059,-0.0062,0.016655,0.013476,3e-06,0.000337,-2e-05,0.00032
2025-09-01,Information Technology,0.2734,0.2315,0.0419,0.005555,0.004495,-0.000399,0.000245,4.4e-05,-0.00011
2025-09-01,Materials,0.0319,0.0332,-0.0013,-0.003214,-0.004468,2.4e-05,4.2e-05,-2e-06,6.4e-05
2025-09-01,Real Estate,0.0264,0.0226,0.0037,0.010651,0.007042,-2.6e-05,8.2e-05,1.3e-05,6.9e-05
2025-09-01,Utilities,0.0214,0.0277,-0.0063,0.05085,0.046705,-0.000205,0.000115,-2.6e-05,-0.000117
2025-10-01,Communication Services,0.0794,0.0861,-0.0067,0.08926,0.085359,-0.000122,0.000336,-2.6e-05,0.000188
2025-10-01,Consumer Discretionary,0.1194,0.1006,0.0188,0.076218,0.075004,0.000149,0.000122,2.3e-05,0.000294
2025-10-01,Consumer Staples,0.0352,0.0681,-0.0329,0.052427,0.051374,0.000517,7.2e-05,-3.5e-05,0.000554
2025-10-01,Energy,0.0333,0.0424,-0.0091,0.058209,0.057337,8.9e-05,3.7e-05,-8e-06,0.000118
2025-10-01,Financials,0.1323,0.1526,-0.0202,0.081311,0.079751,-0.000256,0.000238,-3.2e-05,-5e-05
2025-10-01,Health Care,0.147,0.1291,0.018,0.062414,0.066097,-1.8e-05,-0.000475,-6.6e-05,-0.000559
2025-10-01,Industrials,0.1003,0.107,-0.0067,0.049484,0.048443,0.000125,0.000111,-7e-06,0.000229
2025-10-01,Information Technology,0.2836,0.2366,0.047,0.068853,0.068014,4.3e-05,0.000199,3.9e-05,0.000282
2025-10-01,Materials,0.0318,0.0401,-0.0083,0.069201,0.068391,-1.1e-05,3.2e-05,-7e-06,1.5e-05
2025-10-01,Real Estate,0.0157,0.0163,-0.0006,0.085078,0.08269,-9e-06,3.9e-05,-1e-06,2.8e-05
2025-10-01,Utilities,0.0221,0.0213,0.0007,0.012346,0.00987,-4.3e-05,5.3e-05,2e-06,1.2e-05
2025-11-01,Communication Services,0.0868,0.0775,0.0093,-0.000875,0.000375,7e-05,-9.7e-05,-1.2e-05,-3.8e-05
2025-11-01,Consumer Discretionary,0.1214,0.1016,0.0198,-0.019655,-0.015178,-0.000158,-0.000455,-8.9e-05,-0.000702
2025-11-01,Consumer Staples,0.0386,0.0589,-0.0203,-0.009593,-0.011483,8.7e-05,0.000111,-3.8e-05,0.00016
2025-11-01,Energy,0.0278,0.0426,-0.0148,-0.027443,-0.029537,0.000331,8.9e-05,-3.1e-05,0.000389
2025-11-01,Financials,0.1293,0.1448,-0.0154,0.013731,0.013267,-0.000315,6.7e-05,-7e-06,-0.000255
2025-11-01,Health Care,0.1455,0.1356,0.0099,-0.013435,-0.013174,-5.9e-05,-3.5e-05,-3e-06,-9.7e-05
2025-11-01,Industrials,0.0987,0.1059,-0.0072,0.013743,0.014816,-0.000159,-0.000114,8e-06,-0.000265
2025-11-01,Information Technology,0.2755,0.235,0.0404,-0.020146,-0.021828,-0.000592,0.000395,6.8e-05,-0.000129
2025-11-01,Materials,0.0359,0.0488,-0.0129,0.001038,-0.000162,-9.1e-05,5.9e-05,-1.5e-05,-4.8e-05
2025-11-01,Real Estate,0.0179,0.0306,-0.0127,-0.017443,-0.01669,0.00012,-2.3e-05,1e-05,0.000107
2025-11-01,Utilities,0.0225,0.0187,0.0039,0.012454,0.010986,7e-05,2.7e-05,6e-06,0.000103
2025-12-01,Communication Services,0.0825,0.0743,0.0082,-0.000108,-0.007346,-0.00012,0.000537,6e-05,0.000477
2025-12-01,Consumer Discretionary,0.1217,0.1011,0.0206,0.011715,0.010595,7e-05,0.000113,2.3e-05,0.000206
2025-12-01,Consumer Staples,0.0363,0.0737,-0.0374,0.011795,0.009378,-8.2e-05,0.000178,-9e-05,6e-06
2025-12-01,Energy,0.0309,0.0431,-0.0122,-0.005593,-0.009642,0.000206,0.000175,-5e-05,0.000331
2025-12-01,Financials,0.1343,0.1583,-0.024,0.003852,0.001925,0.000126,0.000305,-4.6e-05,0.000385
2025-12-01,Health Care,0.1451,0.1323,0.0128,-0.007087,-0.006995,-0.000181,-1.2e-05,-1e-06,-0.000195
2025-12-01,Industrials,0.0984,0.0945,0.0039,0.025751,0.025691,7.3e-05,6e-06,0.0,7.9e-05
2025-12-01,Information Technology,0.2828,0.229,0.0538,0.009056,0.004715,-0.000133,0.000994,0.000233,0.001095
2025-12-01,Materials,0.0312,0.0475,-0.0164,0.048863,0.047899,-0.000667,4.6e-05,-1.6e-05,-0.000637
2025-12-01,Real Estate,0.0166,0.0152,0.0014,-0.006671,-0.007465,-2.1e-05,1.2e-05,1e-06,-8e-06
2025-12-01,Utilities,0.0203,0.031,-0.0107,0.042201,0.043058,-0.000384,-2.7e-05,9e-06,-0.000401
2026-01-01,Communication Services,0.0877,0.0725,0.0152,0.0743,0.073004,7.6e-05,9.4e-05,2e-05,0.00019
2026-01-01,Consumer Discretionary,0.1175,0.1103,0.0072,0.109062,0.106022,0.000274,0.000335,2.2e-05,0.000631
2026-01-01,Consumer Staples,0.0385,0.0649,-0.0263,0.052256,0.048201,0.000521,0.000263,-0.000107,0.000678
2026-01-01,Energy,0.0288,0.043,-0.0141,0.058551,0.057197,0.000153,5.8e-05,-1.9e-05,0.000192
2026-01-01,Financials,0.1334,0.152,-0.0186,0.075631,0.075972,-0.000148,-5.2e-05,6e-06,-0.000194
2026-01-01,Health Care,0.1454,0.1225,0.0229,0.049439,0.048459,-0.000448,0.00012,2.2e-05,-0.000305
2026-01-01,Industrials,0.0952,0.1179,-0.0227,0.085068,0.073287,-0.00012,0.001389,-0.000268,0.001001
2026-01-01,Information Technology,0.2812,0.2306,0.0506,0.06494,0.063683,-0.000218,0.00029,6.4e-05,0.000135
2026-01-01,Materials,0.038,0.0362,0.0018,0.065231,0.067321,-1e-06,-7.6e-05,-4e-06,-8.1e-05
2026-01-01,Real Estate,0.0161,0.0239,-0.0078,0.073755,0.069647,-1.3e-05,9.8e-05,-3.2e-05,5.3e-05
2026-01-01,Utilities,0.0181,0.0262,-0.0081,0.019222,0.019332,0.000392,-3e-06,1e-06,0.00039
2026-02-01,Communication Services,0.084,0.0757,0.0083,-0.000153,-0.001054,-0.000319,6.8e-05,8e-06,-0.000243
2026-02-01,Consumer Discretionary,0.1198,0.1021,0.0177,0.067828,0.065062,0.000494,0.000282,4.9e-05,0.000825
2026-02-01,Consumer Staples,0.0431,0.0622,-0.0191,0.04724,0.044526,-0.000141,0.000169,-5.2e-05,-2.4e-05
2026-02-01,Energy,0.0323,0.0478,-0.0155,0.02136,0.018782,0.000285,0.000123,-4e-05,0.000369
2026-02-01,Financials,0.1312,0.1545,-0.0233,0.039996,0.036545,1.4e-05,0.000533,-8e-05,0.000467
2026-02-01,Health Care,0.1427,0.1176,0.025,0.073584,0.069938,0.00082,0.000429,9.1e-05,0.001341
2026-02-01,Industrials,0.0978,0.1133,-0.0155,0.056379,0.060703,-0.000365,-0.00049,6.7e-05,-0.000788
2026-02-01,Information Technology,0.2806,0.2327,0.0479,0.016449,0.016256,-0.001002,4.5e-05,9e-06,-0.000947
2026-02-01,Materials,0.0349,0.0453,-0.0104,0.047629,0.044728,-7.9e-05,0.000131,-3e-05,2.3e-05
2026-02-01,Real Estate,0.0145,0.021,-0.0065,0.002206,0.004406,0.000213,-4.6e-05,1.4e-05,0.000181
2026-02-01,Utilities,0.019,0.0277,-0.0087,0.006945,0.009958,0.000236,-8.3e-05,2.6e-05,0.000179
2026-03-01,Communication Services,0.0822,0.075,0.0072,-0.011264,-0.015172,-3.1e-05,0.000293,2.8e-05,0.00029
2026-03-01,Consumer Discretionary,0.1222,0.1109,0.0113,-0.031208,-0.029719,-0.000213,-0.000165,-1.7e-05,-0.000395
2026-03-01,Consumer Staples,0.0379,0.0654,-0.0275,-0.020651,-0.021047,0.00028,2.6e-05,-1.1e-05,0.000295
2026-03-01,Energy,0.0295,0.0499,-0.0204,-0.01272,-0.012927,4.2e-05,1e-05,-4e-06,4.8e-05
2026-03-01,Financials,0.1262,0.1501,-0.0239,-0.032554,-0.041427,0.000731,0.001332,-0.000212,0.00185
2026-03-01,Health Care,0.151,0.121,0.03,-0.005287,-0.009432,4.3e-05,0.000502,0.000125,0.000669
2026-03-01,Industrials,0.1017,0.1132,-0.0115,-0.003635,-0.004085,-7.8e-05,5.1e-05,-5e-06,-3.2e-05
2026-03-01,Information Technology,0.2813,0.2357,0.0457,0.025995,0.016917,0.001269,0.002139,0.000415,0.003823
2026-03-01,Materials,0.034,0.0359,-0.0019,-0.006248,-0.011473,1e-06,0.000188,-1e-05,0.000179
2026-03-01,Real Estate,0.0157,0.0159,-0.0002,-0.004956,-0.003535,-1e-06,-2.3e-05,0.0,-2.4e-05
2026-03-01,Utilities,0.0183,0.0271,-0.0088,-0.00101,-0.003935,-6.1e-05,7.9e-05,-2.6e-05,-8e-06
2026-04-01,Communication Services,0.0847,0.0795,0.0052,0.043387,0.036845,7.8e-05,0.00052,3.4e-05,0.000632
2026-04-01,Consumer Discretionary,0.1196,0.1017,0.018,0.030953,0.029459,0.000134,0.000152,2.7e-05,0.000313
2026-04-01,Consumer Staples,0.0371,0.0651,-0.028,0.011887,0.012753,0.000258,-5.6e-05,2.4e-05,0.000226
2026-04-01,Energy,0.0292,0.045,-0.0158,0.042669,0.034813,-0.000203,0.000354,-0.000124,2.6e-05
2026-04-01,Financials,0.1261,0.1482,-0.0221,0.021062,0.018276,8.2e-05,0.000413,-6.2e-05,0.000433
2026-04-01,Health Care,0.146,0.123,0.0231,0.006308,0.004093,-0.000413,0.000272,5.1e-05,-8.9e-05
2026-04-01,Industrials,0.1047,0.1118,-0.0072,0.019572,0.018285,2.7e-05,0.000144,-9e-06,0.000161
2026-04-01,Information Technology,0.2791,0.2369,0.0423,0.026987,0.029642,0.000324,-0.000629,-0.000112,-0.000417
2026-04-01,Materials,0.0326,0.0417,-0.0091,0.009623,0.006329,0.000143,0.000137,-3e-05,0.00025
2026-04-01,Real Estate,0.0162,0.0195,-0.0033,0.049507,0.04842,-8.6e-05,2.1e-05,-4e-06,-6.9e-05
2026-04-01,Utilities,0.0247,0.0277,-0.003,0.009324,0.006267,4.7e-05,8.5e-05,-9e-06,0.000123
2026-05-01,Communication Services,0.0832,0.0841,-0.0009,0.01873,0.019021,-2.1e-05,-2.4e-05,0.0,-4.5e-05
2026-05-01,Consumer Discretionary,0.1223,0.1031,0.0192,-0.001757,-0.006019,-3.1e-05,0.000439,8.2e-05,0.00049
2026-05-01,Consumer Staples,0.0408,0.068,-0.0272,-0.012182,-0.014691,0.00028,0.000171,-6.8e-05,0.000382
2026-05-01,Energy,0.0277,0.0549,-0.0271,0.032872,0.028241,-0.000885,0.000254,-0.000126,-0.000756
2026-05-01,Financials,0.1285,0.1525,-0.024,-0.017034,-0.020803,0.000393,0.000575,-9e-05,0.000878
2026-05-01,Health Care,0.1459,0.1237,0.0223,0.002893,0.007495,0.000265,-0.000569,-0.000103,-0.000407
2026-05-01,Industrials,0.1035,0.115,-0.0114,-0.001439,-0.003836,-6e-06,0.000276,-2.7e-05,0.000242
2026-05-01,Information Technology,0.2805,0.2338,0.0467,-0.010231,-0.010767,-0.000298,0.000125,2.5e-05,-0.000148
2026-05-01,Materials,0.0334,0.0351,-0.0017,0.011144,0.01232,-2.8e-05,-4.1e-05,2e-06,-6.8e-05
2026-05-01,Real Estate,0.0155,0.0159,-0.0003,-0.034114,-0.040052,1.2e-05,9.4e-05,-2e-06,0.000104
2026-05-01,Utilities,0.0185,0.0141,0.0044,-0.037655,-0.036808,-0.000144,-1.2e-05,-4e-06,-0.00016
2026-06-01,Communication Services,0.0876,0.068,0.0195,-0.020422,-0.020995,-0.000139,3.9e-05,1.1e-05,-8.9e-05
2026-06-01,Consumer Discretionary,0.1234,0.1008,0.0226,0.005873,0.006756,0.000467,-8.9e-05,-2e-05,0.000358
2026-06-01,Consumer Staples,0.043,0.066,-0.023,-0.033195,-0.036179,0.000513,0.000197,-6.9e-05,0.000641
2026-06-01,Energy,0.0277,0.0379,-0.0102,-0.005512,-0.006075,-8e-05,2.1e-05,-6e-06,-6.4e-05
2026-06-01,Financials,0.1293,0.1541,-0.0248,0.012909,0.00945,-0.00058,0.000533,-8.6e-05,-0.000133
2026-06-01,Health Care,0.1409,0.1329,0.008,-0.030972,-0.033452,-0.000157,0.00033,2e-05,0.000193
2026-06-01,Industrials,0.0969,0.1187,-0.0217,0.01493,0.0196,-0.000728,-0.000554,0.000101,-0.00118
2026-06-01,Information Technology,0.2808,0.2424,0.0385,-0.03982,-0.040719,-0.001032,0.000218,3.5e-05,-0.00078
2026-06-01,Materials,0.0346,0.041,-0.0064,0.002007,0.004409,-0.000118,-9.8e-05,1.5e-05,-0.000201
2026-06-01,Real Estate,0.0143,0.015,-0.0007,-0.003464,-0.004279,-7e-06,1.2e-05,-1e-06,5e-06
2026-06-01,Utilities,0.0215,0.0233,-0.0018,-0.006415,-0.004475,-1.7e-05,-4.5e-05,3e-06,-5.9e-05
